Seahawks 36, Packers 16
Bears 20, Bills 23
Chiefs 10, Titans 26
Dolphins 33, Patriots 20
Eagles 34, Jaguars 17
Falcons 37, Saints 34
Jets 19, Raiders 14
Rams 6, Vikings 34
Ravens 16, Bengals 23
Steelers 30, Browns 27
Texans 17, Redskins 6
Buccaneers 14, Panthers 20
Cowboys 17, 49ers 28
Broncos 31, Colts 24
Lions 35, Giants 14
Cardinals 18, Chargers 17
Ravens 26, Steelers 6
Bengals 24, Falcons 10
Bills 29, Dolphins 10
Browns 26, Saints 24
Giants 14, Cardinals 25
Panthers 24, Lions 7
Redskins 41, Jaguars 10
Titans 10, Cowboys 26
Vikings 7, Patriots 30
Buccaneers 17, Rams 19
Chargers 30, Seahawks 21
Broncos 24, Chiefs 17
Packers 31, Jets 24
Raiders 14, Texans 30
49ers 20, Bears 28
Colts 27, Eagles 30
Falcons 56, Buccaneers 14
Bengals 33, Titans 7
Bills 10, Chargers 22
Browns 21, Ravens 23
Eagles 37, Redskins 34
Giants 30, Texans 17
Jaguars 17, Colts 44
Lions 19, Packers 7
Patriots 16, Raiders 9
Rams 31, Cowboys 34
Saints 20, Vikings 9
Cardinals 23, 49ers 14
Dolphins 15, Chiefs 34
Seahawks 26, Broncos 20
Panthers 19, Steelers 37
Jets 19, Bears 27
Redskins 14, Giants 45
Bears 17, Packers 38
Colts 41, Titans 17
Jets 17, Lions 24
Raiders 14, Dolphins 38
Ravens 38, Panthers 10
Steelers 24, Buccaneers 27
Texans 23, Bills 17
Chargers 33, Jaguars 14
49ers 26, Eagles 21
Vikings 41, Falcons 28
Cowboys 38, Saints 17
Chiefs 41, Patriots 14
Packers 42, Vikings 10
Colts 20, Ravens 13
Cowboys 20, Texans 17
Eagles 34, Rams 28
Giants 30, Falcons 20
Jaguars 9, Steelers 17
Lions 14, Bills 17
Panthers 31, Bears 24
Saints 37, Buccaneers 31
Titans 28, Browns 29
Broncos 41, Cardinals 20
49ers 22, Chiefs 17
Chargers 31, Jets 0
Patriots 43, Bengals 17
Redskins 17, Seahawks 27
Texans 28, Colts 33
Bengals 37, Panthers 37
Bills 22, Patriots 37
Browns 31, Steelers 10
Buccaneers 17, Ravens 48
Dolphins 24, Packers 27
Falcons 13, Bears 27
Jets 17, Broncos 31
Titans 16, Jaguars 14
Vikings 3, Lions 17
Raiders 28, Chargers 31
Cardinals 30, Redskins 20
Seahawks 23, Cowboys 30
Eagles 27, Giants 0
Rams 17, 49ers 31
Patriots 27, Jets 25
Bears 14, Dolphins 27
Bills 17, Vikings 16
Colts 27, Bengals 0
Jaguars 24, Browns 6
Lions 24, Saints 23
Packers 38, Panthers 17
Rams 28, Seahawks 26
Ravens 29, Falcons 7
Redskins 19, Titans 17
Chargers 20, Chiefs 23
Cowboys 31, Giants 21
Raiders 13, Cardinals 24
Broncos 42, 49ers 17
Steelers 30, Texans 23
Broncos 35, Chargers 21
Bengals 27, Ravens 24
Buccaneers 13, Vikings 19
Chiefs 34, Rams 7
Falcons 21, Lions 22
Jaguars 13, Dolphins 27
Jets 23, Bills 43
Panthers 9, Seahawks 13
Patriots 51, Bears 23
Titans 16, Texans 30
Cardinals 24, Eagles 20
Browns 23, Raiders 13
Steelers 51, Colts 34
Saints 44, Packers 23
Cowboys 17, Redskins 20
Panthers 10, Saints 28
Bengals 33, Jaguars 23
Browns 22, Buccaneers 17
Chiefs 24, Jets 10
Cowboys 17, Cardinals 28
Dolphins 37, Chargers 0
Texans 21, Eagles 31
Vikings 29, Redskins 26
49ers 10, Rams 13
Patriots 43, Broncos 21
Seahawks 30, Raiders 24
Steelers 43, Ravens 23
Giants 24, Colts 40
Bengals 3, Browns 24
Bills 13, Chiefs 17
Buccaneers 17, Falcons 27
Jaguars 17, Cowboys 31
